,customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,gender,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
0,7590-VHVEG,1,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,Female,0,Yes,No,No phone service,DSL,No,Yes,No,No,No,No
1,5575-GNVDE,34,Yes,One year,No,Mailed check,56.95,1889.5,No,Male,0,No,No,No,DSL,Yes,No,Yes,No,No,No
2,3668-QPYBK,2,Yes,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,Male,0,No,No,No,DSL,Yes,Yes,No,No,No,No
3,7795-CFOCW,45,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,Male,0,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
4,9237-HQITU,2,Yes,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,Female,0,No,No,No,Fiber optic,No,No,No,No,No,No
5,9305-CDSKC,8,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,Female,0,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
6,1452-KIOVK,22,Yes,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,Male,0,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
7,6713-OKOMC,10,No,Month-to-month,No,Mailed check,29.75,301.9,No,Female,0,No,No,No phone service,DSL,Yes,No,No,No,No,No
8,7892-POOKP,28,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,Female,0,Yes,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
9,6388-TABGU,62,Yes,One year,No,Bank transfer (automatic),56.15,3487.95,No,Male,0,No,Yes,No,DSL,Yes,Yes,No,No,No,No
10,9763-GRSKD,13,Yes,Month-to-month,Yes,Mailed check,49.95,587.45,No,Male,0,Yes,Yes,No,DSL,Yes,No,No,No,No,No
11,7469-LKBCI,16,Yes,Two year,No,Credit card (automatic),18.95,326.8,No,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
12,8091-TTVAX,58,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,Male,0,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
13,0280-XJGEX,49,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,Male,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
14,5129-JLPIS,25,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,Male,0,No,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
15,3655-SNQYZ,69,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
16,8191-XWSZG,52,Yes,One year,No,Mailed check,20.65,1022.95,No,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
17,9959-WOFKT,71,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,Male,0,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
18,4190-MFLUW,10,Yes,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,Female,0,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No
19,4183-MYFRB,21,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,Female,0,No,No,No,Fiber optic,No,Yes,Yes,No,No,Yes
20,8779-QRDMV,1,No,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,Male,1,No,No,No phone service,DSL,No,No,Yes,No,No,Yes
21,1680-VDCWW,12,Yes,One year,No,Bank transfer (automatic),19.8,202.25,No,Male,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
22,1066-JKSGK,1,Yes,Month-to-month,No,Mailed check,20.15,20.15,Yes,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
23,3638-WEABW,58,Yes,Two year,Yes,Credit card (automatic),59.9,3505.1,No,Female,0,Yes,No,Yes,DSL,No,Yes,No,Yes,No,No
24,6322-HRPFA,49,Yes,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,Male,0,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No
25,6865-JZNKO,30,Yes,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,Female,0,No,No,No,DSL,Yes,Yes,No,No,No,No
26,6467-CHFZW,47,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,Male,0,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
